id,time,content
3cf0014089f562efc67251595db787f40ddac95a04046baedbdc6a016903b350,2026-08-02 19:03:22,【伊朗称打击巴林亚马逊数据中心是对美国行动回应】金十数据8月2日讯，当地时间8月2日，伊朗伊斯兰革命卫队发言人介绍“胜利-2”行动时表示，位于巴林的美国亚马逊公司数据处理中心因承担情报支持、云计算以及与美军指挥体系相关的服务，被列为打击目标。<b>该发言人没有明确说明发动打击的时间，但表示此次行动是伊朗对美国袭击行动作出的回应之一。</b>
4199126199904af239f765eea12418e4529d40103ee2be2aed30f85be9ee0218,2026-08-02 19:03:38,黎巴嫩军方：在南部宾特贾比尔地区的卡夫尔基拉镇，5名士兵在以色列空袭中受伤。
7fbb71aae4e7169002e87b1ab9be62b73bf7c98a59cf6d7d7a99b54dc29c798d,2026-08-02 19:21:13,【乌克兰一电商仓库遭袭 未造成人员伤亡】金十数据8月2日讯，当地时间8月2日，乌克兰一知名电商平台称，其位于基辅州布罗瓦雷的核心大型仓库在24小时内第二次遭遇俄军无人机袭击。本次袭击未造成人员伤亡，平台各项业务正常运转、服务未中断。该公司称，短时间内的两次打击属于针对其电商物流基础设施的针对性袭击。俄罗斯方面对此暂无回应。
2b2962ac2cc5e7c2b990506a7ca630dbf6b97ab5238f89eda05b6f2d87868e04,2026-08-02 19:40:14,据半岛电视台：周日以色列对加沙的攻击造成的死亡人数已上升至至少11人。
d59621277b7a4047c4c80325c69b40eba864465ed6f3bb804879e6e17ff0b07e,2026-08-02 20:06:23,"【黄金投资者周报上新！】若10年期美债收益率继续升向5.2%附近的下一支撑带，金价将持续承压。然而，通胀预期价值的上升可能中和这种负面影响。点击查看...<font class=""important-text""></font>"
7108a453e4542a32901983a51779a89646262ad0b79ed845eead5bb8cc650992,2026-08-02 20:19:57,伊朗代理国防部长：伊朗不会被敌人“打得措手不及”，也不会对这坐视不管。
10b620de8c71afc92dabb2b96af0a488c76b09ddaad8c4212790e716f5c80b67,2026-08-02 20:36:40,【以色列高级官员称并未同意停止袭击加沙】金十数据8月2日讯，当地时间8月2日，以色列安全内阁成员、能源部长埃利·科恩当天在接受采访时明确表示，以色列并未同意停止对加沙地带的军事打击，以安全内阁在过去72小时内也并未就所谓的“加沙停火方案”进行过任何讨论。科恩在采访中称，“任何参与或涉及袭击活动的武装人员都将被以军消灭”。针对有关多方推动的加沙停火方案，即巴勒斯坦伊斯兰抵抗运动（哈马斯）解除武装、以军撤出加沙并由技术官僚政府接管加沙地带的计划，科恩声称，以方愿意为该计划提供成功的“机会”，但是他不相信哈马斯会真正执行解除武装。
bf99998cd8bf74eaf8eafb2df0b2754667456c19361493091252b85f61128db0,2026-08-02 21:20:14,【分析师：美伊双方立场仍未松动 发生更广泛冲突的风险仍存】金十数据8月2日讯，卡塔尔大学国际事务助理教授阿卜杜拉·班达尔·阿尔-埃塔比表示，在特朗普最新发布关于伊朗的声明之后，要判断事态走向还为时过早。在这场博弈中，双方在各自立场上都还没有表现出松动。以霍尔木兹海峡为例，伊朗方面并未软化立场，发生更广泛冲突的威胁仍然存在。不过，事态的最新进展为外交争取了更多时间。现在有了更多时间让伊朗与地区国家合作，就霍尔木兹海峡问题达成某种安排，让外交重回正轨。
dc4330c1937ba3583004ccf07ec4a4113a7aa5dd81053337cb5ce09f02f86258,2026-08-02 21:29:24,"【金十整理：下周重要事件与数据预告——美国非农周来袭，中国7月外汇储备、CPI及贸易帐将公布，SpaceX将公布Q2业绩】<br/><span class=""section-news"">1. <b>周一</b>：①数据：<b>中国7月RatingDog制造业PMI</b>；瑞士7月CPI月率；法国7月制造业PMI终值；德国7月制造业PMI终值；欧元区7月制造业PMI终值；英国7月制造业PMI终值；美国7月标普全球制造业PMI终值、美国7月ISM制造业PMI、美国6月营建支出月率。②假期：多伦多证券交易所休市一日。</span><br/><span class=""section-news"">2. <b>周二</b>：①数据：<b>美国6月贸易帐</b>、美国6月JOLTs职位空缺、美国6月工厂订单月率。②事件：<b>FMS 2026闪存峰会于8月4-6日举行，三星、SK等存储巨头出席</b>。</span><br/><span class=""section-news"">3. <b>周三</b>：①数据：美国至7月31日当周API原油库存；中国7月RatingDog服务业PMI；法国6月工业产出月率；法国7月服务业PMI终值；德国7月服务业PMI终值；欧元区7月服务业PMI终值；英国7月服务业PMI终值；欧元区6月PPI月率；美国7月ADP就业人数、美国7月标普全球服务业PMI终值、美国7月ISM非制造业PMI、美国至7月31日当周EIA原油库存、美国至7月31日当周EIA俄克拉荷马州库欣原油库存、美国至7月31日当周EIA战略石油储备库存。②事件：沙特阿美在每月5日左右公布官方原油售价。③<b>财报：</b><b>AMD、SpaceX（周二美股盘后）</b>。</span><br/><span class=""section-news"">4. <b>周四</b>：①数据：瑞士7月季调后失业率；欧元区6月零售销售月率；美国7月挑战者企业裁员人数、美国至8月1日当周初请失业金人数、美国7月全球供应链压力指数、美国6月批发销售月率、美国至7月31日当周EIA天然气库存。②事件：软银集团公布2026财年第一季度业绩报告。</span><br/><span class=""section-news"">5. <b>周五</b>：①数据：法国第二季度ILO失业率；德国6月季调后工业产出月率、德国6月季调后贸易帐；英国7月Halifax季调后房价指数月率；法国6月贸易帐；瑞士7月消费者信心指数；加拿大7月就业人数；<b>美国7月失业率、美国7月季调后非农就业人口、美国7月平均每小时工资年率、美国7月平均每小时工资月率</b>、美国7月纽约联储1年通胀预期；<b>中国7月以美元计算贸易帐、中国7月外汇储备、中国7月贸易帐</b>。②事件：2028年FOMC票委、圣路易联储主席穆萨莱姆就美国经济和货币政策发表讲话；2027年FOMC票委、里奇蒙联储主席巴尔金发表讲话。</span><br/><span class=""section-news"">6. <b>周六</b>：①数据：美国至8月7日当周石油钻井总数。</span><br/><span class=""section-news"">7. <b>周日</b>：①数据：<b>中国7月CPI年率</b>。</span>"
379fad5bc59e036661f4ea2ed45741062083a019c084ffa23325e8220dd16fcd,2026-08-02 22:18:07,【沙特外交大臣与卡塔尔总理通话】金十数据8月2日讯，当地时间周日，卡塔尔总理兼外交大臣与沙特外交大臣进行了电话交谈。 通话中，双方讨论了两国之间的合作关系及其支持和增强的方式。 他们还讨论了最新的地区发展，特别是外交努力和联合协调，以缓解紧张局势并加强地区安全与稳定。 卡塔尔总理兼外交大臣强调，各方需承诺对话与外交，并落实美国与伊朗伊斯兰共和国之间的共识，包括确保霍尔木兹海峡的航行自由，以维护地区安全，保持已取得的进展，并促进地区稳定。 他重申，卡塔尔对所有旨在降低紧张局势、达成确保地区可持续和平的全面协议的努力给予坚定支持。
